	ID	p1	p2	p3	p4	p5	p6	p7	p8	p9	p10	p11	p12	p13	p14	p15	p16	p17
	103	y	y	y	n	n	n	y	y	y	n	y	n	n	n	y	y	d
	104	y	y	n	y	y	y	n	n	n	y	n	y	y	y	n	y	r
	105	n	y	n	y	y	y	n	n	n	y	n	y	y	y	n	u	r
	106	y	y	y	n	n	n	y	y	n	n	n	n	n	y	n	y	d
	107	y	n	n	n	n	y	y	y	y	y	n	n	n	y	y	y	d
	108	n	n	y	n	n	n	y	y	y	y	y	u	n	n	y	y	d
	109	n	u	n	y	y	y	n	n	n	y	n	y	y	y	n	n	r
	110	y	u	y	n	u	u	y	y	y	n	n	n	n	n	y	u	d
	111	n	y	y	y	y	y	n	n	n	y	y	n	y	y	n	n	d
	112	n	n	y	n	n	n	y	y	y	y	y	n	n	n	y	y	d
	113	y	y	n	y	y	y	y	n	n	n	n	y	y	y	n	n	r
	114	n	n	y	n	n	n	y	y	y	y	n	n	n	n	y	y	d
	115	y	n	y	n	n	n	y	y	y	n	n	n	n	n	y	u	d
	116	n	y	y	y	y	y	n	n	n	y	y	y	y	y	y	u	d
	117	y	y	y	n	n	n	y	y	y	y	n	n	n	n	y	y	d
	118	y	y	y	u	n	n	n	y	n	n	y	u	n	n	y	y	d
	119	n	n	n	n	y	y	y	n	n	n	n	u	n	y	y	y	r
	120	n	n	y	n	n	n	y	y	n	y	y	n	n	n	y	u	d
	121	y	n	n	y	y	y	n	n	n	n	y	y	y	y	n	n	r
	122	n	y	y	n	y	y	y	y	n	n	y	n	y	n	y	y	d
	123	n	n	y	n	n	n	y	y	y	n	n	u	n	n	y	y	d
	124	n	u	n	y	y	y	n	n	n	y	n	y	y	y	n	y	r
	125	y	y	y	n	n	n	y	y	y	n	n	n	n	n	y	y	d
	126	n	y	y	y	y	y	y	u	n	n	n	n	u	u	y	u	r
	127	n	n	n	y	y	y	n	n	n	y	n	y	y	y	n	n	r
	128	y	y	y	n	n	y	y	y	u	y	y	u	n	n	y	u	d
	129	y	n	y	n	n	y	y	y	y	y	n	u	n	y	n	y	d
	130	y	n	y	n	n	y	y	y	y	y	n	y	n	y	n	u	d
	131	n	y	y	u	y	y	n	y	n	y	u	n	y	y	u	y	d
	132	n	n	y	n	n	n	y	y	y	y	n	n	n	y	n	y	d
	133	n	n	n	y	y	y	y	y	n	y	n	y	y	y	n	y	r
	134	n	n	n	y	y	y	y	y	y	y	n	y	y	y	n	y	r
	135	n	y	y	n	n	y	n	y	y	y	n	n	y	y	n	y	d
	136	n	y	y	n	n	y	n	y	y	n	y	n	u	u	u	u	d
	137	y	y	y	n	n	y	y	y	y	n	n	n	n	n	y	y	d
	138	n	y	y	n	n	y	y	y	y	y	n	u	n	n	y	y	d
	139	n	y	n	y	y	y	n	n	n	n	n	n	y	y	n	y	r
	140	n	y	n	y	y	y	n	n	n	y	n	y	y	y	n	n	r
	141	n	y	n	y	y	y	n	n	n	n	y	u	y	y	u	u	r
	142	y	n	y	n	n	n	y	y	y	y	n	n	n	n	y	y	d
	143	n	y	y	n	n	n	y	y	y	y	n	n	n	n	y	y	d
	144	y	n	y	n	n	n	y	y	y	n	n	n	n	n	y	u	d
	145	y	y	n	y	y	y	n	n	n	y	n	y	y	y	n	y	r
	146	n	n	n	y	y	y	n	n	n	y	n	y	y	y	n	y	r
	147	y	n	y	n	n	n	y	y	y	y	n	n	n	n	y	y	d
	148	y	u	y	n	n	y	y	y	y	y	n	n	n	n	y	u	d
	149	y	y	y	y	y	y	y	y	n	y	u	u	u	y	n	y	r
	150	y	n	y	n	n	y	y	y	y	n	n	y	u	y	y	y	d
	151	n	n	y	y	y	y	y	n	n	n	n	y	y	y	n	y	r
	152	n	n	n	y	y	y	n	n	n	y	y	y	y	y	n	u	r
	153	n	n	n	y	y	y	n	n	n	n	n	y	y	y	n	n	r
	154	n	n	n	y	y	y	n	n	n	n	n	y	y	y	n	n	r
	155	y	u	n	y	y	y	y	y	n	n	n	y	u	y	u	u	r
	156	y	y	y	n	n	n	y	y	y	n	n	n	n	n	n	y	d
	157	n	n	n	y	y	y	y	y	y	y	n	y	y	y	u	y	r
	158	n	y	y	n	y	y	n	n	n	n	n	n	y	y	y	y	d
	159	y	y	n	y	n	n	y	y	y	n	y	n	n	y	n	y	d
	160	n	y	y	n	y	y	y	n	y	y	y	n	y	y	n	y	d
	161	y	n	y	n	n	y	y	y	y	n	n	n	n	n	y	y	d
	162	y	n	y	n	n	n	y	n	y	y	y	n	n	n	y	y	d
	163	n	n	y	n	n	n	y	y	y	y	n	n	n	n	n	y	d
	164	y	n	y	n	n	n	y	y	n	y	y	n	n	n	n	u	d
	165	n	u	y	n	n	y	n	y	n	y	y	n	n	n	y	y	d
	166	n	y	y	n	n	y	y	y	y	y	n	n	y	y	y	y	d
	167	n	n	n	y	y	y	n	n	n	n	n	y	y	y	n	u	r
	168	n	y	n	y	n	y	y	y	y	n	y	n	y	n	y	u	d
	169	u	u	u	u	u	u	u	u	y	u	u	u	u	u	u	u	d
	170	y	n	y	y	y	n	y	n	y	y	n	n	y	y	n	y	r
	171	u	u	u	u	n	y	y	y	y	y	u	n	y	y	n	u	d
	172	n	n	n	y	y	y	n	n	n	n	n	y	y	y	n	y	r
	173	y	y	y	n	n	n	y	y	y	n	n	n	n	n	u	u	d
	174	y	n	y	n	n	y	n	y	u	y	y	y	u	n	n	y	d
	175	y	n	y	n	u	y	u	y	y	y	n	n	y	y	n	y	d
	176	u	n	y	n	n	n	y	y	y	y	y	u	n	n	y	u	d
	177	y	n	y	n	n	n	y	y	u	n	y	n	n	n	y	y	d
	178	y	u	n	y	y	y	y	n	n	y	n	y	y	y	n	y	r
	179	y	y	y	n	n	n	y	y	y	n	n	n	n	n	y	y	d
	180	y	y	n	n	n	n	n	y	y	n	y	n	n	n	y	n	d
	181	n	y	y	n	n	y	y	y	u	n	y	y	n	n	y	y	d
	182	y	y	y	n	y	y	n	y	y	n	y	n	n	y	n	u	d
	183	n	n	y	n	y	y	n	n	n	n	u	n	y	y	n	n	d
	184	n	n	y	n	n	y	y	y	y	y	n	y	n	y	y	u	d
	185	n	y	n	y	y	y	n	u	n	y	n	y	y	y	n	u	r
	186	y	u	y	n	n	n	y	y	y	n	n	n	n	n	y	y	d
	187	y	n	y	n	n	n	y	y	y	y	n	n	n	n	y	u	d
	188	n	n	y	n	y	y	n	n	n	y	y	y	y	y	n	y	d
	189	y	n	y	n	n	n	y	y	y	y	n	y	n	n	y	u	d
	190	n	y	y	n	y	y	y	n	n	n	y	y	y	y	n	y	d
	191	n	n	n	y	y	n	y	n	y	y	n	n	n	y	n	y	r
	192	n	n	y	n	n	n	y	y	y	n	n	n	n	n	y	y	d
	193	n	n	y	n	n	y	y	y	y	y	n	y	n	n	n	y	d
	194	y	y	n	n	y	y	n	n	n	y	y	y	y	y	n	u	d
	195	n	y	n	y	y	y	n	n	n	n	n	y	y	y	n	y	r
	196	y	n	y	n	n	n	y	y	u	n	n	n	n	n	n	u	d
	197	n	n	y	y	y	y	y	y	n	y	n	n	n	y	n	y	r
	198	y	y	n	n	y	u	n	n	n	n	y	n	y	y	n	y	d
	199	y	y	y	n	n	y	y	y	y	y	n	n	n	n	n	y	d
	200	n	y	y	n	n	n	n	y	y	y	y	n	n	n	y	y	d
	201	n	n	n	y	y	n	n	n	n	n	n	y	y	y	n	y	r
	202	y	n	y	n	n	n	y	y	y	y	n	n	n	n	y	y	d
	203	y	y	y	n	n	n	y	y	y	n	y	u	n	n	n	y	d
	204	n	y	y	n	n	n	y	y	y	y	n	n	u	n	y	y	d
	205	u	u	y	n	n	n	y	y	u	n	u	u	u	u	u	u	d
	206	n	n	y	y	y	y	n	n	y	n	n	n	y	y	y	u	d
	207	n	n	n	y	n	y	y	u	y	n	n	y	y	y	n	y	r
	208	n	u	n	y	y	y	n	n	n	y	n	y	y	y	n	y	r
	209	y	n	y	n	n	n	y	y	y	y	y	n	n	y	n	y	d
	210	n	y	y	n	n	y	y	y	u	y	n	n	n	n	n	y	d
	211	n	y	y	n	n	n	y	y	n	n	y	n	n	n	y	u	d
	212	n	n	n	y	y	y	n	n	n	y	n	y	y	y	n	y	r
	213	y	n	y	n	n	y	y	y	y	y	n	n	y	n	n	y	d
	214	n	u	n	y	y	y	n	n	n	y	n	y	y	y	n	y	r
	215	y	u	y	n	n	n	y	y	y	n	n	u	n	n	y	y	d
	216	y	y	y	n	n	n	y	y	y	n	y	n	n	n	y	u	d
	217	n	n	n	y	y	n	y	y	n	y	n	y	y	y	u	y	r
	218	n	n	n	y	y	y	n	n	n	n	y	y	y	y	n	n	d
	219	y	y	y	n	n	n	y	y	y	n	n	n	u	u	y	y	d
	220	n	y	n	y	y	y	n	n	n	n	n	y	y	y	n	n	r
	221	y	y	n	y	y	y	n	n	n	n	y	y	y	y	n	y	r
	222	y	n	y	n	n	n	y	y	y	n	n	n	n	n	y	y	d
	223	n	n	y	n	n	y	y	y	y	n	y	n	n	y	y	y	d
	224	n	y	n	y	y	y	n	n	n	n	n	y	y	y	n	y	r
	225	n	n	n	y	y	y	n	n	n	n	n	y	y	y	n	n	r
	226	n	n	n	y	y	y	n	n	n	y	u	y	y	y	n	y	r
	227	y	y	n	y	y	y	y	n	n	n	n	y	y	y	n	y	r
	228	y	y	y	n	n	u	y	y	n	n	y	n	n	n	y	y	d
	229	n	y	n	y	y	y	n	n	n	n	n	y	y	y	n	n	r
	230	y	y	y	n	n	n	y	y	u	n	y	n	n	n	y	u	d
	231	n	y	n	y	y	y	n	n	n	n	n	n	u	y	y	y	d
	232	y	y	y	n	n	n	y	y	y	n	n	n	n	n	n	y	d
	233	n	n	y	n	n	y	y	y	n	n	y	n	n	y	u	y	d
	234	n	n	n	y	y	y	n	n	n	y	n	y	y	y	n	u	r
	235	y	y	u	y	y	y	n	n	y	n	y	u	y	y	n	n	d
	236	n	n	y	n	n	n	y	y	y	y	n	n	y	n	y	y	d
	237	n	y	y	y	y	y	n	n	n	n	n	y	y	y	n	u	d
	238	y	n	y	n	n	n	y	y	y	y	y	n	y	n	y	y	d
	239	y	y	y	n	y	y	n	n	n	y	y	n	y	y	n	y	d
	240	n	u	y	y	y	y	n	n	n	y	n	n	n	y	n	y	r
	241	n	u	n	y	y	y	n	n	n	y	n	y	y	y	n	y	r
	242	n	u	y	n	u	u	y	y	y	y	u	u	n	n	y	y	d
	243	y	y	n	y	y	y	n	n	n	n	y	n	y	y	n	u	d
	244	y	y	n	y	y	y	n	n	n	y	n	y	y	y	n	y	r
	245	y	n	y	n	n	n	y	y	y	y	n	n	u	n	y	y	d
	246	y	y	y	n	n	n	y	y	y	n	y	n	n	n	y	y	d
	247	n	y	n	y	y	y	n	u	n	n	n	y	y	y	n	y	r
	248	y	u	y	n	n	n	y	y	y	n	u	n	n	n	y	u	d
	249	y	y	y	n	n	n	y	y	y	n	n	n	n	n	y	y	d
	250	n	y	n	n	n	n	y	y	y	y	y	n	n	n	y	y	d
	251	y	y	n	y	y	y	n	u	n	n	y	y	y	y	n	n	r
	252	n	n	y	y	y	y	y	n	n	y	y	y	y	y	n	y	r
	253	n	n	y	n	n	y	y	y	y	y	n	n	y	n	n	y	d
	254	u	u	u	u	u	u	u	u	u	u	u	u	u	u	u	u	r
	255	n	n	n	y	y	y	n	n	n	y	n	y	y	y	n	y	r
	256	n	y	n	y	y	y	u	u	n	n	u	u	y	u	u	u	r
	257	y	n	y	n	n	n	y	y	y	n	n	n	n	n	n	y	d
	258	u	u	n	n	u	y	u	n	n	n	y	y	n	y	n	u	d
	259	n	y	n	y	y	y	n	n	n	y	y	y	y	y	n	n	r
	260	y	y	u	u	u	y	n	n	n	n	y	n	y	n	n	y	d
	261	n	y	n	y	y	y	u	u	n	y	n	y	u	u	u	u	r
	262	y	y	y	u	n	y	y	y	y	n	y	n	y	n	u	y	d
	263	y	y	y	n	n	y	u	y	n	n	y	y	n	y	n	u	d
	264	n	n	n	y	y	y	n	n	n	y	n	u	y	y	n	u	r
	265	n	n	n	n	n	y	n	y	y	n	y	y	y	y	y	n	d
	266	n	n	n	y	n	n	y	y	y	y	n	n	y	y	n	y	r
	267	n	y	y	n	u	y	y	y	y	y	y	n	n	u	n	u	d
	268	n	n	n	y	y	y	n	n	n	n	n	y	y	y	n	n	r
	269	n	y	n	y	y	y	n	n	n	n	n	u	y	y	n	n	r
	270	y	y	y	n	n	n	y	y	y	n	n	n	n	n	n	y	d
	271	n	y	n	y	y	y	n	n	n	y	y	y	y	y	n	y	r
	272	y	n	n	y	y	n	y	n	n	y	n	n	n	y	y	y	r
	273	y	y	y	n	y	y	n	y	u	y	n	n	y	y	n	u	d
	274	y	y	y	n	n	n	y	y	y	n	n	n	n	n	y	y	d
	275	n	y	n	y	y	y	n	n	n	n	n	y	y	y	n	y	r
	276	y	y	y	n	n	y	u	y	y	n	y	n	y	n	y	y	d
	277	n	y	y	n	n	n	n	y	y	n	y	n	n	y	y	y	d
	278	y	n	y	n	n	n	y	y	y	n	n	n	n	n	y	u	d
	279	n	n	n	y	y	n	y	y	y	y	n	y	y	y	n	y	r
	280	n	n	y	y	y	y	n	n	n	y	n	y	y	y	y	y	r
	281	n	n	n	y	y	y	n	n	n	n	y	y	y	y	n	y	r
	282	y	y	y	n	n	y	y	y	y	y	y	y	y	n	n	y	d
	283	n	n	n	n	y	y	n	n	n	y	y	y	y	y	n	y	d
	284	y	n	y	n	n	n	y	y	y	n	n	n	n	n	u	y	d
	285	n	n	y	n	n	n	y	y	y	n	n	n	n	n	y	u	d
	286	y	u	y	n	n	n	y	y	y	n	y	n	n	n	y	y	d
	287	n	y	y	n	n	u	y	y	y	y	y	n	u	y	y	y	d
	288	n	y	y	n	n	y	n	y	y	y	y	n	y	n	y	y	d
	289	n	u	y	n	n	n	y	y	y	n	n	n	n	n	y	y	d
	290	y	n	y	n	y	y	n	u	u	n	y	u	u	u	y	y	d
	291	y	n	y	y	y	y	y	y	n	n	n	n	n	y	n	u	r
	292	n	y	n	y	y	y	y	n	n	n	n	y	y	y	n	y	r
	293	n	n	n	y	y	y	n	n	n	n	n	y	y	y	n	u	r
	294	n	n	n	y	y	y	n	n	n	y	n	y	y	y	y	n	r
	295	n	y	n	y	y	y	n	n	n	y	n	y	y	y	n	n	r
	296	n	n	n	y	y	y	n	n	n	y	n	y	n	y	n	y	r
	297	n	u	n	y	y	y	n	n	n	y	n	y	y	y	n	n	r
	298	n	n	y	n	n	y	y	y	y	y	y	n	n	n	y	y	d
	299	y	u	y	n	n	n	y	y	y	n	n	n	n	n	y	u	d
	300	y	y	n	y	y	y	n	n	n	n	y	n	y	y	n	y	r
